model,window_type,horizon,n_forecasts,mae,rmse,mase,coverage_95,avg_interval_width
seasonal_naive12,expanding,12,121,11.140504132231404,16.19014665322376,1.5390468666137596,0.8347107438016529,38.88918332294046
ucm_local_level_seasonal12,expanding,1,121,3.9278007854580164,5.971459125156749,0.539942037785426,0.8842975206611571,13.927712636999418
ucm_local_level_seasonal12,expanding,2,121,4.634368583474545,7.572966994195132,0.6359149126281926,0.8925619834710744,17.003943086141554
ucm_local_level_seasonal12,expanding,3,121,5.67099137306685,9.549087211280582,0.7755850671987238,0.8760330578512396,19.581766594055946
ucm_local_level_seasonal12,expanding,4,121,6.5180884162171555,11.044532318924954,0.8928925803156023,0.8677685950413223,21.838903980619758
ucm_local_level_seasonal12,expanding,5,121,7.038572285567533,11.709345426079688,0.966342984671057,0.8429752066115702,23.866807580234088
ucm_local_level_seasonal12,expanding,6,121,7.656231633063944,12.165514450968903,1.0534548798927124,0.8181818181818182,25.719982351422384
ucm_local_level_seasonal12,expanding,7,121,8.387753141022914,12.66860494059714,1.155942754498001,0.8181818181818182,27.434059615335705
ucm_local_level_seasonal12,expanding,8,121,8.953879140330386,13.299644932041737,1.2358249441205744,0.8429752066115702,29.033867050721653
ucm_local_level_seasonal12,expanding,9,121,9.407412876681903,14.165151797991372,1.2988225800937327,0.8181818181818182,30.537536364204716
ucm_local_level_seasonal12,expanding,10,121,10.22388725932339,15.312344210989815,1.4100272585077689,0.8099173553719008,31.958821894527425
ucm_local_level_seasonal12,expanding,11,121,10.561260478526957,15.754457155796707,1.4574552304669244,0.7933884297520661,33.308463841471266
ucm_local_level_seasonal12,expanding,12,121,10.962287209497214,16.02343128155512,1.5161312925606083,0.8347107438016529,34.59513397551268
sarima_012_001_12,rolling120,1,121,3.8678098905862313,6.109526363594866,0.5878317581110548,0.8677685950413223,14.292162223769436
sarima_012_001_12,rolling120,2,121,4.849779652477135,7.749922689111335,0.7375045159953761,0.8512396694214877,16.517090877584533
sarima_012_001_12,rolling120,3,121,5.992740579851443,9.799875330737766,0.9008699177426901,0.8181818181818182,19.05718348141819
sarima_012_001_12,rolling120,4,121,6.798322830670876,11.40944315218242,1.0300746581446492,0.7933884297520661,21.277812130009462
sarima_012_001_12,rolling120,5,121,7.406244084478902,11.982116255196201,1.1417207978487782,0.768595041322314,23.2781342815429
sarima_012_001_12,rolling120,6,121,7.9773503844304905,12.471997422323861,1.2395513599827461,0.7603305785123967,25.11417088418043
sarima_012_001_12,rolling120,7,121,8.509381136805159,12.76866358851837,1.3347676198429799,0.7603305785123967,26.821378462796105
sarima_012_001_12,rolling120,8,121,9.015287035122972,13.32662330948096,1.4218791532265564,0.7768595041322314,28.42393674436488
sarima_012_001_12,rolling120,9,121,9.59012440196073,14.099669957851505,1.5148257167107189,0.7520661157024794,29.939234939080098
sarima_012_001_12,rolling120,10,121,10.177974819209332,15.29225889128357,1.6083756253526307,0.7272727272727273,31.3802876125656
sarima_012_001_12,rolling120,11,121,10.731912726951604,15.714700103822993,1.7020010019789151,0.7272727272727273,32.757142959460374
sarima_012_001_12,rolling120,12,121,10.928353424618214,15.961032895401525,1.7533898399795302,0.7603305785123967,34.07775504992741
